LT_um,IT_uA,LR_um,IR_uA,T,R,lnT
480,44,420,42,0.98,0.93,-0.022
495,45,440,38,1,0.84,0
510,44,460,36,0.98,0.8,-0.022
525,42,475,35,0.93,0.78,-0.069
540,42,490,33,0.93,0.73,-0.069
555,40,505,30,0.89,0.67,-0.118
570,38,520,27,0.84,0.6,-0.169
580,37,530,24,0.82,0.53,-0.196
595,35,545,22,0.78,0.49,-0.251
610,33,560,20,0.73,0.44,-0.31
625,31,575,19,0.69,0.42,-0.373
640,30,590,17,0.67,0.38,-0.405
655,29,605,15,0.64,0.33,-0.439
670,26,620,14,0.58,0.31,-0.549
680,24,630,13,0.53,0.29,-0.629
695,21,645,12,0.47,0.27,-0.762
710,19,660,11,0.42,0.24,-0.862
725,16,675,10,0.36,0.22,-1.034
