phi,phimphi0,lambda,sin,sinerr
2.93906,-0.20047,404.7,-0.1991299401,1.95994619002171E-05
2.92325,-0.21628,435.8,-0.214597783,1.95340501846851E-05
2.89473,-0.2448,491.6,-0.2423622925,1.94037163366905E-05
2.86668,-0.27285,546.1,-0.2694770968,1.92601359737705E-05
2.85073,-0.2888,577,-0.2848021268,1.91717265632992E-05
2.84958,-0.28995,579.1,-0.2859043126,1.91651634385228E-05
3.34665,0.20712,404.7,0.2056423102,1.95725444463751E-05
3.36268,0.22315,435.8,0.2213026123,1.95041037097502E-05
3.39142,0.25189,491.6,0.2492347608,1.93688619596104E-05
3.41979,0.28026,546.1,0.2766055136,1.92196710671856E-05
3.43599,0.29646,577,0.2921364709,1.91275328506219E-05
3.4371,0.29757,579.1,0.2931978688,0.000019121
